Formula_Label,Formulation,Dose,Payload,Empty%,Size,mRNA uptake (%),mRNA uptake (MFI),Lipid uptake (%),Lipid uptake (MFI),Endosomal escape,Transfection (%),Transfection (MFI),batch
1,SM102,1,9.79,15.07,80.11,26,2269,48.7,663,0.973,77.2,1014,1
2,SM102,1,9.79,15.07,81.92,29.1,2080,48.1,649,1.196,79.1,1117,1
3,SM102,1,9.79,15.07,76.35,29,2071,52.2,651,1.222,77.5,1136,1
4,SM102,1,10.92,13.06,94.75,4.17,1899,33.7,609,1.002,58.4,854,1
5,SM102,1,10.92,13.06,96.18,5.13,1913,43,622,1.135,65.2,878,1
6,SM102,1,10.92,13.06,93.87,5.68,2169,36.6,622,1.07,61,848,1
7,SM102,1,10.35,11.94,78.38,12.8,1939,41.3,625,1.276,61.8,840,1
8,SM102,1,10.35,11.94,80.84,14.9,1966,50.9,638,1.152,68.1,826,1
9,SM102,1,10.35,11.94,81.79,17.8,1967,56.3,646,1.133,68.9,840,1
10,SM102,1,8.51,14.35,74.2,30.2,2132,52.2,649,1.064,67.7,859,1
11,SM102,1,8.51,14.35,76.79,32.3,2042,52.1,648,1.207,73.3,824,1
12,SM102,1,8.51,14.35,75.56,31.3,2028,56.4,639,1.151,77.2,870,1
13,SM102,1,7.24,16.4,73.88,40.1,2145,52.2,657,1.24,75.4,913,1
14,SM102,1,7.24,16.4,71.73,40,2132,52.9,640,1.223,66,770,1
15,SM102,1,7.24,16.4,73.79,44.4,2106,59.9,643,1.04,57.7,729,1
16,SM102,1,9.13,31.67,86.11,10.3,6734,66.9,683,,8.21,507,2
17,SM102,1,9.13,31.67,81.85,6.61,6426,56.5,658,,9.72,507,2
18,SM102,1,9.13,31.67,81.24,9.83,6552,51.6,669,,13.8,517,2
19,SM102,1,14.33,14.54,113.1,0.34,6406,15.3,586,,4.54,550,2
20,SM102,1,14.33,14.54,120.8,0.16,6760,11.5,577,,5.08,525,2
21,SM102,1,14.33,14.54,109.7,0.18,10628,19.9,587,,5.07,524,2
22,SM102,1,11.21,18.05,93.81,0.8,8731,19.7,599,,3.92,496,2
23,SM102,1,11.21,18.05,90.63,0.53,8858,29.7,599,,5.33,510,2
24,SM102,1,11.21,18.05,89.52,0.65,12088,33.1,602,,3.61,509,2
25,SM102,1,8.6,26.09,72.97,2.22,6296,23.6,603,,2.82,505,2
26,SM102,1,8.6,26.09,71.2,2.73,6249,38.1,618,,2.08,502,2
27,SM102,1,8.6,26.09,75.87,3.81,6781,49.4,638,,1.22,507,2
28,SM102,1,5.96,28.95,71.03,4.33,6237,26.6,590,,1.7,506,2
29,SM102,1,5.96,28.95,72.81,4.29,6407,22.3,593,,0.61,503,2
30,SM102,1,5.96,28.95,70.79,5.29,6780,29.8,605,,0.68,501,2
31,SM102,0.5,9.13,31.67,86.11,1.17,7958,20.3,595,,3.52,,2
32,SM102,0.5,9.13,31.67,81.85,0.74,12812,12.8,579,,3.94,,2
33,SM102,0.5,9.13,31.67,81.24,1.19,6316,24,598,,4.73,,2
34,SM102,0.5,14.33,14.54,113.1,0.34,6672,8.15,600,,2.19,,2
35,SM102,0.5,14.33,14.54,120.8,0.29,6301,2.08,838,,2.74,,2
36,SM102,0.5,14.33,14.54,109.7,0.14,6639,4.83,549,,2.84,,2
37,SM102,0.5,11.21,18.05,93.81,0.24,24032,4.07,552,,2.49,,2
38,SM102,0.5,11.21,18.05,90.63,0.31,10559,5.03,555,,2.74,,2
39,SM102,0.5,11.21,18.05,89.52,0.31,6724,6.9,558,,2.58,,2
40,SM102,0.5,8.6,26.09,72.97,0.37,6483,7.94,571,,4.6,,2
41,SM102,0.5,8.6,26.09,71.2,0.39,6232,5.42,566,,4.93,,2
42,SM102,0.5,8.6,26.09,75.87,0.48,10573,12.7,573,,4.2,,2
43,SM102,0.5,5.96,28.95,71.03,0.52,12705,4.04,565,,5.45,,2
44,SM102,0.5,5.96,28.95,72.81,0.41,6140,3.86,557,,7.54,,2
45,SM102,0.5,5.96,28.95,70.79,0.48,7744,9.73,560,,6.14,,2
46,SM102,2,9.79,15.07,80.11,75.8,2768,91.7,966,1.139,90,1188,1
47,SM102,2,9.79,15.07,81.92,72.5,2590,87.2,840,1.206,82.6,1153,1
48,SM102,2,9.79,15.07,76.35,75.2,2905,88.7,955,1.166,86,1284,1
49,SM102,2,10.92,13.06,94.75,31.8,2120,87,871,1.219,88.9,1332,1
50,SM102,2,10.92,13.06,96.18,32.3,2221,86.8,866,1.1,88.9,1331,1
51,SM102,2,10.92,13.06,93.87,37.8,2167,89,897,1.271,91.3,1422,1
52,SM102,2,10.35,11.94,78.38,59.8,2331,90.7,884,0.956,92.3,1237,1
53,SM102,2,10.35,11.94,80.84,65.6,2459,95,951,1.165,79.9,951,1
54,SM102,2,10.35,11.94,81.79,72.7,3685,94.8,926,1.104,83.8,1007,1
55,SM102,2,8.51,14.35,74.2,66.7,2499,92.3,867,1.095,61.9,742,1
56,SM102,2,8.51,14.35,76.79,68.5,2486,91.7,864,1.28,40.3,675,1
57,SM102,2,8.51,14.35,75.56,65.3,2425,88.1,814,1.109,79.6,930,1
58,SM102,2,7.24,16.4,73.88,53.7,2229,81.3,758,1.183,53.6,718,1
59,SM102,2,7.24,16.4,71.73,56,2244,81.5,734,1.224,45.9,679,1
60,SM102,2,7.24,16.4,73.79,71.6,2542,87,780,1.369,36.5,657,1
